name,gender,probability,n
Anna-Juulia,female,1,13
Anna-Kaarina,female,1,307
Anna-Kaija,female,1,59
Annakaisa,female,1,260
Anna-Kaisa,female,1,1701
Anna-Kajsa,female,1,21
Anna-Karin,female,1,111
Anna-Karoliina,female,1,82
Anna-Katariina,female,1,105
Anna-Katarina,female,1,26
Anna-Katri,female,1,49
Anna-Katriina,female,1,62
Anna-Kerttu,female,1,10
Anna-Kreeta,female,1,19
Anna-Kreetta,female,1,23
Anna-Kristiina,female,1,143
Anna-Kristina,female,1,33
Anna-Laura,female,1,16
Annalea,female,1,14
Anna-Lea,female,1,27
Anna-Leea,female,1,28
Annaleena,female,1,199
Anna-Leena,female,1,1270
Annalena,female,1,15
Anna-Lena,female,1,316
Annaliina,female,1,64
Anna-Liina,female,1,27
Annaliisa,female,1,330
Anna-Liisa,female,1,10894
Anna-Linnea,female,1,12
Annalisa,female,1,31
Anna-Lisa,female,1,443
Annalotta,female,1,15
Anna-Lotta,female,1,77
Anna-Loviisa,female,1,10
Anna-Lovisa,female,1,10
Anna-Lyydia,female,1,14
Anna-Maaret,female,1,11
Annamaaria,female,1,26
Anna-Maaria,female,1,119
Anna-Maarit,female,1,65
Annamaija,female,1,243
Anna-Maija,female,1,3351
Anna-Maj,female,1,20
Annamari,female,1,969
Anna-Mari,female,1,1392
Annamaria,female,1,286
Anna-Maria,female,1,2296
Anna-Marie,female,1,36
Anna-Mariia,female,1,12
Anna-Marika,female,1,18
Anna-Marja,female,1,142
Anna-Marjatta,female,1,12
Anna-Matilda,female,1,15
Annami,female,1,50
Anna-Mi,female,1,20
Anna-Mia,female,1,11
Anna-Miia,female,1,11
Anna-Pauliina,female,1,35
Anna-Pia,female,1,15
Anna-Reeta,female,1,53
Annareetta,female,1,26
Anna-Reetta,female,1,146
Annariikka,female,1,61
Anna-Riikka,female,1,285
Annariina,female,1,130
Anna-Riina,female,1,69
Annariitta,female,1,29
Anna-Riitta,female,1,291
Anna-Roosa,female,1,10
Annarosa,female,1,11
Anna-Rosa,female,1,10
Anna-Sara,female,1,11
Anna-Sisko,female,1,21
Annasofia,female,1,32
Anna-Sofia,female,1,573
Annastiina,female,1,811
Anna-Stiina,female,1,116
Annastina,female,1,120
Anna-Stina,female,1,158
Anna-Tuulia,female,1,29
Anna-Ulla,female,1,10
Ann-Britt,female,1,242
Ann-Caroline,female,1,21
Ann-Cathrin,female,1,20
Ann-Cathrine,female,1,30
Ann-Catrin,female,1,78
Ann-Catrine,female,1,31
Ann-Charlott,female,1,102
Ann-Charlotta,female,1,11
Ann-Charlotte,female,1,320
Ann-Chatrine,female,1,10
Ann-Christin,female,1,430
Ann-Christina,female,1,14
Ann-Christine,female,1,500
Ann-Cristin,female,1,12
Ann-Cristine,female,1,15
Anne,female,1,35241
Annea,female,1,17
Anne-Birgitta,female,1,11
Anne-Britt,female,1,17
Anne-Charlotte,female,1,48
Anne-Christine,female,1,43
Anne-Elina,female,1,22
Anne-Helena,female,1,31
Anneka,female,1,98
Anne-Kaarina,female,1,42
Anne-Kaisa,female,1,14
Anne-Katariina,female,1,14
Anneke,female,1,18
Anne-Kristiina,female,1,90
Anne-Kristina,female,1,17
Annel,female,1,37
Annele,female,1,2213
Anne-Leena,female,1,31
Anneli,female,1,125723
Annelie,female,1,134
Anne-Lie,female,1,10
Anneliese,female,1,10
Anneliina,female,1,62
Anne-Liisa,female,1,53
Annelise,female,1,20
Anne-Louise,female,1,10
Annely,female,1,12
Anne-Maaret,female,1,35
Anne-Maaria,female,1,34
Anne-Maarit,female,1,592
Anne-Mai,female,1,31
Anne-Maija,female,1,223
Annemaj,female,1,12
Anne-Maj,female,1,661
Annemari,female,1,531
Anne-Mari,female,1,2616
Annemaria,female,1,34
Anne-Maria,female,1,1235
Annemarie,female,1,68
Anne-Marie,female,1,1143
